Gene_set,Selected,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Molecular_Function_2021,,nucleotidase activity (GO:0008252),4/16,0.401864691,0.893322593,0,0,1.333667,1.215823966,NT5E;NT5DC4;NT5C1A;NT5C1B-RDH14
GO_Molecular_Function_2021,,voltage-gated ion channel activity (GO:0005244),4/16,0.401864691,0.893322593,0,0,1.333667,1.215823966,KCNA3;CACNA1E;CACNA1H;SLC17A3
GO_Molecular_Function_2021,,protease binding (GO:0002020),25/118,0.40925173,0.896340707,0,0,1.075742206,0.961094803,PRKN;SERPINA1;SERPINB13;ITGB3;SERPINE1;PZP;TNF;COMP;DPP4;ADAMTS4;TIMP3;ELANE;TIMP4;ATP9A;CD177;SERPINB3;CCBE1;SERPINB4;NTRK2;VWF;CD70;COL1A1;COL3A1;FAP;CD28
GO_Molecular_Function_2021,,glucose transmembrane transporter activity (GO:0005355),5/21,0.413990513,0.896340707,0,0,1.250312891,1.102666219,SLC2A14;PPBP;SLC5A1;SLC2A4;SLC2A7
GO_Molecular_Function_2021,,transcription regulatory region nucleic acid binding (GO:0001067),44/212,0.418353616,0.896340707,0,0,1.048148683,0.913386354,YAP1;FOXA1;FOXC2;FOXC1;BNC2;BNC1;PRDM5;GATA6;GATA5;SIX1;GLI1;MACROH2A2;GATA1;TNF;DUX4;SOX2;CREB3L3;SOX18;ERBB4;HNF4A;NKX2-1;SOX5;NKX3-1;KCNH2;TFAP2A;EGR1;KLF11;MSX2;HMGA2;FOXJ1;HNF1A;PROX1;FOXN1;KLF15;PAX2;TBX18;KLF1;AR;NR5A2;RFX6;TAL1;PPARG;VSX1;FOXA2
GO_Molecular_Function_2021,,acyl-CoA oxidase activity (GO:0003997),2/7,0.423296244,0.896340707,0,0,1.60030015,1.37575084,ACOXL;ACADL
GO_Molecular_Function_2021,,"alcohol dehydrogenase activity, zinc-dependent (GO:0004024)",2/7,0.423296244,0.896340707,0,0,1.60030015,1.37575084,ADH1B;ADH1A
GO_Molecular_Function_2021,,carbohydrate:proton symporter activity (GO:0005351),2/7,0.423296244,0.896340707,0,0,1.60030015,1.37575084,SLC45A2;SLC45A1
GO_Molecular_Function_2021,,CCR6 chemokine receptor binding (GO:0031731),2/7,0.423296244,0.896340707,0,0,1.60030015,1.37575084,CCL20;DEFB1
GO_Molecular_Function_2021,,cell-matrix adhesion mediator activity (GO:0098634),2/7,0.423296244,0.896340707,0,0,1.60030015,1.37575084,ITGA1;EMILIN1
GO_Molecular_Function_2021,,ceramide 1-phosphate transfer activity (GO:1902388),2/7,0.423296244,0.896340707,0,0,1.60030015,1.37575084,GLTPD2;MTTP
GO_Molecular_Function_2021,,clathrin light chain binding (GO:0032051),2/7,0.423296244,0.896340707,0,0,1.60030015,1.37575084,CALY;NSG2
GO_Molecular_Function_2021,,fatty-acyl-CoA synthase activity (GO:0004321),2/7,0.423296244,0.896340707,0,0,1.60030015,1.37575084,ACSM5;ACSM4
GO_Molecular_Function_2021,,ferric iron binding (GO:0008199),2/7,0.423296244,0.896340707,0,0,1.60030015,1.37575084,MIOX;ACP5
GO_Molecular_Function_2021,,G protein-coupled acetylcholine receptor activity (GO:0016907),2/7,0.423296244,0.896340707,0,0,1.60030015,1.37575084,CHRM2;CHRM3
GO_Molecular_Function_2021,,G protein-coupled neurotransmitter receptor activity (GO:0099528),2/7,0.423296244,0.896340707,0,0,1.60030015,1.37575084,CHRM2;CHRM3
GO_Molecular_Function_2021,,GPI anchor binding (GO:0034235),2/7,0.423296244,0.896340707,0,0,1.60030015,1.37575084,CEACAM5;THY1
GO_Molecular_Function_2021,,L-proline transmembrane transporter activity (GO:0015193),2/7,0.423296244,0.896340707,0,0,1.60030015,1.37575084,SLC6A7;SLC36A3
GO_Molecular_Function_2021,,manganese ion transmembrane transporter activity (GO:0005384),2/7,0.423296244,0.896340707,0,0,1.60030015,1.37575084,SLC11A1;ATP2C2
GO_Molecular_Function_2021,,N-acylsphingosine amidohydrolase activity (GO:0017040),2/7,0.423296244,0.896340707,0,0,1.60030015,1.37575084,ASAH2B;ASAH2
GO_Molecular_Function_2021,,patched binding (GO:0005113),2/7,0.423296244,0.896340707,0,0,1.60030015,1.37575084,SHH;CAV1
GO_Molecular_Function_2021,,phospholipid scramblase activity (GO:0017128),2/7,0.423296244,0.896340707,0,0,1.60030015,1.37575084,PLSCR2;PLSCR4
GO_Molecular_Function_2021,,S-methyltransferase activity (GO:0008172),2/7,0.423296244,0.896340707,0,0,1.60030015,1.37575084,BHMT;BHMT2
GO_Molecular_Function_2021,,transmembrane receptor protein tyrosine kinase activator activity (GO:0030297),2/7,0.423296244,0.896340707,0,0,1.60030015,1.37575084,GREM1;NRG1
GO_Molecular_Function_2021,,voltage-gated channel activity (GO:0022832),2/7,0.423296244,0.896340707,0,0,1.60030015,1.37575084,KCNA3;CACNA1H
GO_Molecular_Function_2021,,C2H2 zinc finger domain binding (GO:0070742),3/12,0.441671064,0.92194346,0,0,1.333583521,1.089790949,LEF1;HMGA2;GATA1
GO_Molecular_Function_2021,,glycerophospholipid flippase activity (GO:0140333),3/12,0.441671064,0.92194346,0,0,1.333583521,1.089790949,ATP8A2;ABCA4;ATP10A
GO_Molecular_Function_2021,,MAP kinase phosphatase activity (GO:0033549),3/12,0.441671064,0.92194346,0,0,1.333583521,1.089790949,DUSP29;DUSP8;DUSP9
GO_Molecular_Function_2021,,mechanosensitive ion channel activity (GO:0008381),3/12,0.441671064,0.92194346,0,0,1.333583521,1.089790949,TMC1;PIEZO2;TMC7
GO_Molecular_Function_2021,,"N-acetyllactosaminide beta-1,3-N-acetylglucosaminyltransferase activity (GO:0008532)",3/12,0.441671064,0.92194346,0,0,1.333583521,1.089790949,B3GNT6;B3GNT3;B3GALT5
GO_Molecular_Function_2021,,polynucleotide adenylyltransferase activity (GO:0004652),3/12,0.441671064,0.92194346,0,0,1.333583521,1.089790949,PAPOLB;TENT5B;TENT5D
GO_Molecular_Function_2021,,sodium:proton antiporter activity (GO:0015385),3/12,0.441671064,0.92194346,0,0,1.333583521,1.089790949,SLC9A2;SLC9C1;SLC9C2
GO_Molecular_Function_2021,,adrenergic receptor binding (GO:0031690),4/17,0.451143687,0.93412211,0,0,1.231000231,0.979838508,UCHL1;APLP1;ADRA2C;ADRA2A
GO_Molecular_Function_2021,,alcohol dehydrogenase (NADP+) activity (GO:0008106),4/17,0.451143687,0.93412211,0,0,1.231000231,0.979838508,AKR1B15;AKR1D1;AKR1E2;AKR1C4
GO_Molecular_Function_2021,,calcium-release channel activity (GO:0015278),4/17,0.451143687,0.93412211,0,0,1.231000231,0.979838508,RYR1;RYR2;TRPA1;ITPR3
GO_Molecular_Function_2021,,metalloaminopeptidase activity (GO:0070006),4/17,0.451143687,0.93412211,0,0,1.231000231,0.979838508,ENPEP;MMP16;MMP15;TRHDE
GO_Molecular_Function_2021,,acetylgalactosaminyltransferase activity (GO:0008376),6/27,0.461368228,0.951456166,0,0,1.14307175,0.884233206,B3GNT6;B3GNT3;CHSY3;B4GALNT1;B3GALT5;B4GALNT4
GO_Molecular_Function_2021,,glutathione transferase activity (GO:0004364),6/27,0.461368228,0.951456166,0,0,1.14307175,0.884233206,HPGDS;GSTT4;LTC4S;GSTT2B;GSTM5;PTGES
GO_Molecular_Function_2021,,phosphotyrosine residue binding (GO:0001784),8/37,0.467063239,0.961270433,0,0,1.103655587,0.840202642,ZAP70;SHC3;IRS1;LCK;PIK3R3;PTPN5;SHD;PTPN3
GO_Molecular_Function_2021,,carboxylic acid transmembrane transporter activity (GO:0046943),12/57,0.473522283,0.972614769,0,0,1.066867268,0.797543356,SLC7A4;SLC36A3;AQP9;SLC16A12;SLC6A12;SLC16A11;SLC6A11;SLC38A11;SLC16A9;SLC38A3;SLC7A2;SLC16A14
GO_Molecular_Function_2021,,androsterone dehydrogenase activity (GO:0047023),2/8,0.496712085,0.974225337,0,0,1.333500083,0.93310965,DHRS9;AKR1C4
GO_Molecular_Function_2021,,arginine transmembrane transporter activity (GO:0015181),2/8,0.496712085,0.974225337,0,0,1.333500083,0.93310965,SLC47A1;SLC7A2
GO_Molecular_Function_2021,,calcium-dependent protein serine/threonine kinase activity (GO:0009931),2/8,0.496712085,0.974225337,0,0,1.333500083,0.93310965,CAMK4;CCL3
GO_Molecular_Function_2021,,calcium-independent phospholipase A2 activity (GO:0047499),2/8,0.496712085,0.974225337,0,0,1.333500083,0.93310965,PLA2G5;PLA2G7
GO_Molecular_Function_2021,,CD4 receptor binding (GO:0042609),2/8,0.496712085,0.974225337,0,0,1.333500083,0.93310965,LCK;PLSCR4
GO_Molecular_Function_2021,,ceramide transfer activity (GO:0120017),2/8,0.496712085,0.974225337,0,0,1.333500083,0.93310965,GLTPD2;MTTP
GO_Molecular_Function_2021,,deoxycytidine deaminase activity (GO:0047844),2/8,0.496712085,0.974225337,0,0,1.333500083,0.93310965,AICDA;APOBEC3A
GO_Molecular_Function_2021,,estradiol 17-beta-dehydrogenase activity (GO:0004303),2/8,0.496712085,0.974225337,0,0,1.333500083,0.93310965,HSD17B2;HSD17B14
GO_Molecular_Function_2021,,G protein-coupled glutamate receptor binding (GO:0035256),2/8,0.496712085,0.974225337,0,0,1.333500083,0.93310965,SLC9A3R2;HOMER1
GO_Molecular_Function_2021,,glucosidase activity (GO:0015926),2/8,0.496712085,0.974225337,0,0,1.333500083,0.93310965,KL;GBA3
GO_Molecular_Function_2021,,glycogen binding (GO:2001069),2/8,0.496712085,0.974225337,0,0,1.333500083,0.93310965,PPP1R3C;PPP1R3A
GO_Molecular_Function_2021,,inositol hexakisphosphate kinase activity (GO:0000828),2/8,0.496712085,0.974225337,0,0,1.333500083,0.93310965,ITPKA;IP6K3
GO_Molecular_Function_2021,,mitogen-activated protein kinase kinase binding (GO:0031434),2/8,0.496712085,0.974225337,0,0,1.333500083,0.93310965,DAB2IP;TRIB2
GO_Molecular_Function_2021,,pre-mRNA intronic binding (GO:0097157),2/8,0.496712085,0.974225337,0,0,1.333500083,0.93310965,ELAVL4;RBM24
GO_Molecular_Function_2021,,procollagen-proline dioxygenase activity (GO:0019798),2/8,0.496712085,0.974225337,0,0,1.333500083,0.93310965,P3H2;P3H3
GO_Molecular_Function_2021,,retinal dehydrogenase activity (GO:0001758),2/8,0.496712085,0.974225337,0,0,1.333500083,0.93310965,ALDH1A2;AKR1C4
GO_Molecular_Function_2021,,sodium channel inhibitor activity (GO:0019871),2/8,0.496712085,0.974225337,0,0,1.333500083,0.93310965,CAMK2D;PCSK9
GO_Molecular_Function_2021,,superoxide-generating NADPH oxidase activator activity (GO:0016176),2/8,0.496712085,0.974225337,0,0,1.333500083,0.93310965,NCF1;NOXA1
GO_Molecular_Function_2021,,alkali metal ion binding (GO:0031420),3/13,0.4983837,0.974225337,0,0,1.200150113,0.835766556,SLC34A2;ATP4A;ATP1A2
GO_Molecular_Function_2021,,insulin-like growth factor I binding (GO:0031994),3/13,0.4983837,0.974225337,0,0,1.200150113,0.835766556,IGFBP3;ITGB3;IGF1R
GO_Molecular_Function_2021,,monovalent cation:proton antiporter activity (GO:0005451),3/13,0.4983837,0.974225337,0,0,1.200150113,0.835766556,SLC9A2;SLC9C1;SLC9C2
GO_Molecular_Function_2021,,phosphatidate phosphatase activity (GO:0008195),3/13,0.4983837,0.974225337,0,0,1.200150113,0.835766556,PLPP4;PLPP2;LPIN3
GO_Molecular_Function_2021,,cyclic nucleotide binding (GO:0030551),5/23,0.49933348,0.974225337,0,0,1.111250174,0.771742253,PDE11A;PDE10A;CNGB3;BVES;CNGB1
GO_Molecular_Function_2021,,MHC protein binding (GO:0042287),6/28,0.499519016,0.974225337,0,0,1.091045659,0.757305278,LAG3;COL2A1;KIR2DS4;LILRB1;LILRB2;KIR3DL2
GO_Molecular_Function_2021,,cation transmembrane transporter activity (GO:0008324),10/48,0.499829322,0.974225337,0,0,1.052763488,0.730079472,OCA2;SLC22A3;SLC36A3;SLC6A7;SLC22A1;SLC1A1;PKD2L1;PKD1L3;SLC38A3;SLC7A2
GO_Molecular_Function_2021,,L-amino acid transmembrane transporter activity (GO:0015179),11/53,0.499865616,0.974225337,0,0,1.047750361,0.726526848,OCA2;SLC36A3;SLC6A7;SLC7A7;SLC47A1;SLC1A1;SLC17A8;SLC7A10;SLC1A6;SLC38A3;SLC7A2
GO_Molecular_Function_2021,,protein kinase activator activity (GO:0030295),13/63,0.499918941,0.974225337,0,0,1.040130424,0.721132108,EPO;IGF2;NRG1;MT3;GRM5;TCL1A;GPRC5B;ERBB3;GPRC5D;CD24;FGF13;GPRC5C;LTF
GO_Molecular_Function_2021,,hexosyltransferase activity (GO:0016758),24/119,0.518394839,0.999995945,0,0,1.010589855,0.663975815,UGT2B11;UGT2B28;TMTC1;B3GALT5;FUT1;FUT3;FUT6;LFNG;FUT5;EXTL1;B3GNT6;HAS1;A4GNT;B3GNT3;UGT2A3;GCNT3;UGT3A1;B4GALNT1;CHSY3;GCNT4;LARGE1;A4GALT;LARGE2;B4GALNT4
GO_Molecular_Function_2021,,iron ion binding (GO:0005506),11/54,0.527080436,0.999995945,0,0,1.023319944,0.655336253,FTO;MIOX;EGLN3;TF;ALOX5;AGMO;ALOX15;ACP5;CDO1;ALOX15B;LTF
GO_Molecular_Function_2021,,amino acid transmembrane transporter activity (GO:0015171),10/49,0.528399125,0.999995945,0,0,1.025705289,0.654300852,SLC7A4;SLC6A19;SLC36A3;SLC7A7;SLC47A1;SLC38A11;SLC7A10;SLC6A1;SLC38A3;SLC7A2
GO_Molecular_Function_2021,,N-acyltransferase activity (GO:0016410),8/39,0.531750001,0.999995945,0,0,1.03232271,0.651996258,GLYATL3;GLYATL1B;GLYATL2;PLA2G4E;GLYAT;PLAAT2;CERS1;TGM2
GO_Molecular_Function_2021,,protein phosphatase inhibitor activity (GO:0004864),6/29,0.536675495,0.999995945,0,0,1.043543576,0.649461512,PPP1R14A;PPP1R17;PPP1R14C;PPP1R2C;SAG;MYOZ1
GO_Molecular_Function_2021,,ferrous iron binding (GO:0008198),5/24,0.540194925,0.999995945,0,0,1.052697451,0.648277652,FTO;EGLN3;TF;ACP5;CDO1
GO_Molecular_Function_2021,,Notch binding (GO:0005112),5/24,0.540194925,0.999995945,0,0,1.052697451,0.648277652,DNER;DTX1;CCN3;DLL1;DLL3
GO_Molecular_Function_2021,,gated channel activity (GO:0022836),3/14,0.552004258,0.999995945,0,0,1.090977324,0.648258202,TMC1;PIEZO2;TMC7
GO_Molecular_Function_2021,,L-glutamate transmembrane transporter activity (GO:0005313),3/14,0.552004258,0.999995945,0,0,1.090977324,0.648258202,SLC1A1;SLC17A8;SLC1A6
GO_Molecular_Function_2021,,MAP kinase activity (GO:0004707),3/14,0.552004258,0.999995945,0,0,1.090977324,0.648258202,MAPK10;MAPK15;MAPK4
GO_Molecular_Function_2021,,sulfate transmembrane transporter activity (GO:0015116),3/14,0.552004258,0.999995945,0,0,1.090977324,0.648258202,SLC26A7;SLC26A9;SLC26A3
GO_Molecular_Function_2021,,cysteine-type endopeptidase inhibitor activity (GO:0004869),8/40,0.562977425,0.999995945,0,0,1,0.57451575,SERPINB3;VIL1;SERPINB13;AVP;BIRC7;MT3;CST5;LTF
GO_Molecular_Function_2021,,peptidase inhibitor activity (GO:0030414),8/40,0.562977425,0.999995945,0,0,1,0.57451575,SMR3A;SPINK1;SLPI;AHSG;PZP;SPP2;PI3;LPA
GO_Molecular_Function_2021,,aromatic amino acid transmembrane transporter activity (GO:0015173),2/9,0.563836813,0.999995945,0,0,1.142928607,0.65488713,OCA2;SLC38A3
GO_Molecular_Function_2021,,bile acid binding (GO:0032052),2/9,0.563836813,0.999995945,0,0,1.142928607,0.65488713,NR1H4;AKR1C4
GO_Molecular_Function_2021,,clathrin heavy chain binding (GO:0032050),2/9,0.563836813,0.999995945,0,0,1.142928607,0.65488713,LRP1;SNAP91
GO_Molecular_Function_2021,,cytidylyltransferase activity (GO:0070567),2/9,0.563836813,0.999995945,0,0,1.142928607,0.65488713,CDS1;PCYT1B
GO_Molecular_Function_2021,,growth hormone receptor binding (GO:0005131),2/9,0.563836813,0.999995945,0,0,1.142928607,0.65488713,CSH2;CSH1
GO_Molecular_Function_2021,,intracellular cAMP-activated cation channel activity (GO:0005222),2/9,0.563836813,0.999995945,0,0,1.142928607,0.65488713,CNGB3;CNGB1
GO_Molecular_Function_2021,,"intramolecular transferase activity, phosphotransferases (GO:0016868)",2/9,0.563836813,0.999995945,0,0,1.142928607,0.65488713,PGAM2;PGM5
GO_Molecular_Function_2021,,L-alanine transmembrane transporter activity (GO:0015180),2/9,0.563836813,0.999995945,0,0,1.142928607,0.65488713,SLC36A3;SLC38A3
GO_Molecular_Function_2021,,L-aspartate transmembrane transporter activity (GO:0015183),2/9,0.563836813,0.999995945,0,0,1.142928607,0.65488713,SLC1A1;SLC1A6
GO_Molecular_Function_2021,,magnesium ion transmembrane transporter activity (GO:0015095),2/9,0.563836813,0.999995945,0,0,1.142928607,0.65488713,TUSC3;CLDN16
GO_Molecular_Function_2021,,P-type calcium transporter activity (GO:0005388),2/9,0.563836813,0.999995945,0,0,1.142928607,0.65488713,ATP2B3;ATP2C2
GO_Molecular_Function_2021,,potassium ion binding (GO:0030955),2/9,0.563836813,0.999995945,0,0,1.142928607,0.65488713,ATP4A;ATP1A2
GO_Molecular_Function_2021,,potassium:chloride symporter activity (GO:0015379),2/9,0.563836813,0.999995945,0,0,1.142928607,0.65488713,SLC12A3;SLC12A1
GO_Molecular_Function_2021,,type I transforming growth factor beta receptor binding (GO:0034713),2/9,0.563836813,0.999995945,0,0,1.142928607,0.65488713,FERMT2;SMAD7
GO_Molecular_Function_2021,,transition metal ion transmembrane transporter activity (GO:0046915),6/30,0.572593871,0.999995945,0,0,1,0.557578589,SLC30A2;SLC11A1;SLC30A4;SLC39A12;SLC30A10;SLC39A2
GO_Molecular_Function_2021,,WW domain binding (GO:0050699),6/30,0.572593871,0.999995945,0,0,1,0.557578589,ENAH;SCNN1G;NDFIP2;TCEAL5;TCEAL2;TP63
GO_Molecular_Function_2021,,transcription coactivator binding (GO:0001223),4/20,0.588637205,0.999995945,0,0,1,0.529945235,AR;THRB;TERT;PGR
GO_Molecular_Function_2021,,E-box binding (GO:0070888),8/41,0.593258561,0.999995945,0,0,0.969636242,0.506271278,SCRT2;TCF15;TAL1;ATOH8;TWIST1;HES1;PPARG;NEUROG1
GO_Molecular_Function_2021,,acidic amino acid transmembrane transporter activity (GO:0015172),3/15,0.602050732,0.999995945,0,0,1,0.507413564,SLC1A1;SLC17A8;SLC1A6
GO_Molecular_Function_2021,,aldehyde dehydrogenase [NAD(P)+] activity (GO:0004030),3/15,0.602050732,0.999995945,0,0,1,0.507413564,ALDH3B2;ALDH1L1;ALDH1A2
GO_Molecular_Function_2021,,chloride channel regulator activity (GO:0017081),3/15,0.602050732,0.999995945,0,0,1,0.507413564,WNK2;WNK3;CFTR
GO_Molecular_Function_2021,,death receptor binding (GO:0005123),3/15,0.602050732,0.999995945,0,0,1,0.507413564,EDA;BDNF;DAB2IP
GO_Molecular_Function_2021,,MAP kinase kinase activity (GO:0004708),3/15,0.602050732,0.999995945,0,0,1,0.507413564,MAPK10;SBK2;MAP3K9
GO_Molecular_Function_2021,,myosin V binding (GO:0031489),3/15,0.602050732,0.999995945,0,0,1,0.507413564,RAB3B;RAB3C;RAB25
GO_Molecular_Function_2021,,protein homodimerization activity (GO:0042803),125/636,0.603803375,0.999995945,0,0,0.977779181,0.493296121,CSF1;SLC4A1;IKZF3;GIMAP7;HPGDS;CREB3L3;ENPP1;MAP3K9;KCNH2;PDGFRA;DGAT2;S100A1;SLC11A1;ADIPOQ;ACSL6;MTUS2;HOGA1;HLA-G;FOXP2;MID2;POU3F3;JAML;CHMP4C;KLRF2;MASP1;CD300H;ABCG4;ABCG2;EXD1;SMIM1;PDGFA;HSD11B1;DPP4;TERT;SOHLH1;FLRT3;S100A16;STC2;SYNDIG1;HMOX1;KCNN2;TPPP;APOE;CADM3;CDSN;CADM1;DEFA6;AMBP;FZD4;CAV2;DEFA4;EPHX2;FZD9;CIDEA;DEFA3;NR2F2;NR0B2;SYT6;VIL1;MLXIPL;NR4A3;GDNF;HOOK1;FGFR2;FGFR1;BMPR1A;ACHE;TENM2;ABCD2;TENM3;TENM4;FLT4;SEPTIN12;PTH1R;GHR;TRIM9;HNF4A;CR2;PRMT8;TRPC6;MME;IZUMO1;DUSP29;ADRA2C;ADRA2A;GREM1;ANO1;ADRB3;CEACAM5;AGXT;DSCAML1;PRTFDC1;CAMK2D;TYRP1;PON1;CLCN1;LRP6;TYMP;ADD2;ERBB4;HES1;MGAT2;SLIT2;PRPS1L1;CRYM;XDH;GBP1;PDLIM4;MAPK4;NTRK1;NTRK2;AADAT;GDF15;DAB2IP;LILRB1;LILRB2;TBX18;CLEC2A;FAP;IL17F;IL17D;NECTIN3;NEUROG1;MIXL1;NECTIN1
GO_Molecular_Function_2021,,kinase activator activity (GO:0019209),6/31,0.60707551,0.999995945,0,0,0.95993991,0.479108021,GPRC5B;EPO;GPRC5D;FGF13;MT3;GPRC5C
GO_Molecular_Function_2021,,monocarboxylic acid binding (GO:0033293),6/31,0.60707551,0.999995945,0,0,0.95993991,0.479108021,CYP26B1;CYP2W1;CYP27C1;NR1H4;NR2F2;AKR1C4
GO_Molecular_Function_2021,,phosphatidylinositol-4-phosphate binding (GO:0070273),5/26,0.616781897,0.999995945,0,0,0.952321354,0.460199587,GSDMC;GSDMA;PLA2G4E;DAB2IP;RUBCNL
GO_Molecular_Function_2021,,protein phosphorylated amino acid binding (GO:0045309),8/42,0.622470582,0.999995945,0,0,0.941058588,0.446117207,ZAP70;SHC3;IRS1;LCK;PIK3R3;PTPN5;SHD;PTPN3
GO_Molecular_Function_2021,,adenosine deaminase activity (GO:0004000),2/10,0.624249815,0.999995945,0,0,1,0.471204647,ADARB2;ADAD2
GO_Molecular_Function_2021,,adenylate cyclase binding (GO:0008179),2/10,0.624249815,0.999995945,0,0,1,0.471204647,AKAP6;ADCY5
GO_Molecular_Function_2021,,aldo-keto reductase (NADP) activity (GO:0004033),2/10,0.624249815,0.999995945,0,0,1,0.471204647,MIOX;AKR1C4
GO_Molecular_Function_2021,,cAMP response element binding (GO:0035497),2/10,0.624249815,0.999995945,0,0,1,0.471204647,NR4A3;HMGA2
GO_Molecular_Function_2021,,cAMP-dependent protein kinase regulator activity (GO:0008603),2/10,0.624249815,0.999995945,0,0,1,0.471204647,CXCL10;PKIA
GO_Molecular_Function_2021,,high voltage-gated calcium channel activity (GO:0008331),2/10,0.624249815,0.999995945,0,0,1,0.471204647,CACNA1B;CACNA1C
GO_Molecular_Function_2021,,MAP kinase tyrosine/serine/threonine phosphatase activity (GO:0017017),2/10,0.624249815,0.999995945,0,0,1,0.471204647,DUSP8;DUSP9
GO_Molecular_Function_2021,,MHC class II receptor activity (GO:0032395),2/10,0.624249815,0.999995945,0,0,1,0.471204647,HLA-DQA2;HLA-DQB1
GO_Molecular_Function_2021,,nucleoside-triphosphate diphosphatase activity (GO:0047429),2/10,0.624249815,0.999995945,0,0,1,0.471204647,ENPP1;ENPP3
GO_Molecular_Function_2021,,phospholipase A1 activity (GO:0008970),2/10,0.624249815,0.999995945,0,0,1,0.471204647,LIPG;PLAAT2
GO_Molecular_Function_2021,,phospholipase inhibitor activity (GO:0004859),2/10,0.624249815,0.999995945,0,0,1,0.471204647,APOC1;ANXA5
GO_Molecular_Function_2021,,protein tyrosine/threonine phosphatase activity (GO:0008330),2/10,0.624249815,0.999995945,0,0,1,0.471204647,DUSP8;DUSP9
GO_Molecular_Function_2021,,cysteine-type endopeptidase inhibitor activity involved in apoptotic process (GO:0043027),4/21,0.629730514,0.999995945,0,0,0.941117588,0.435232352,VIL1;AVP;BIRC7;MT3
GO_Molecular_Function_2021,,phosphatase activity (GO:0016791),15/79,0.633576217,0.999995945,0,0,0.937264743,0.427744175,EPHX2;PON1;ATP1A2;DUSP15;DUSP8;DUSP26;PHOSPHO1;PLPP4;ALPP;ACP4;ACP5;ALPL;ALPG;PLPP2;LPIN3
GO_Molecular_Function_2021,,neutral amino acid transmembrane transporter activity (GO:0015175),6/32,0.639965274,0.999995945,0,0,0.922961365,0.411955833,SLC6A19;SLC36A3;SLC6A7;SLC1A1;SLC7A10;SLC38A3
GO_Molecular_Function_2021,,1-phosphatidylinositol-3-kinase regulator activity (GO:0046935),3/16,0.648247472,0.999995945,0,0,0.923019187,0.400112899,SOCS1;CISH;PIK3R3
GO_Molecular_Function_2021,,C4-dicarboxylate transmembrane transporter activity (GO:0015556),3/16,0.648247472,0.999995945,0,0,0.923019187,0.400112899,SLC1A1;SLC1A6;SLC13A5
GO_Molecular_Function_2021,,CARD domain binding (GO:0050700),3/16,0.648247472,0.999995945,0,0,0.923019187,0.400112899,CARD10;NOD2;CARD14
GO_Molecular_Function_2021,,"DNA-binding transcription activator activity, RNA polymerase II-specific (GO:0001228)",64/333,0.661733947,0.999995945,0,0,0.950887055,0.39261337,FOXA1;EHF;ONECUT2;ONECUT1;SIX1;TFCP2L1;HOXC11;DUX4;ZNF729;CREB3L3;MECOM;SALL2;SOX18;HNF4A;ZNF208;SIX3;VENTX;NKX6-3;ZNF99;ETV1;HNF1A;KLF15;NPAS4;AR;RFX6;PGR;HOXB1;HOXB7;FOXC2;FOXC1;HLF;LEF1;GATA1;BARX2;ZNF229;HOXC4;ALX1;TFAP2A;EGR1;TFAP2C;EGR4;FOXF2;PRRX1;FOXF1;IRX6;NR1H4;FOXJ1;GRHL3;MEIS3;POU4F1;GRHL2;POU2F3;SOX30;POU4F3;RAX2;NR4A1;GFI1B;NR4A3;NFIA;LHX3;NFIB;TLX2;SP7;MIXL1
GO_Molecular_Function_2021,,mRNA 3'-UTR AU-rich region binding (GO:0035925),4/22,0.668083783,0.999995945,0,0,0.888777667,0.358481086,ELAVL4;CPEB2;RBM24;ELAVL3
GO_Molecular_Function_2021,,peptidase activator activity (GO:0016504),4/22,0.668083783,0.999995945,0,0,0.888777667,0.358481086,PCOLCE2;CAV1;MAL;PRSS22
GO_Molecular_Function_2021,,protein tyrosine/serine/threonine phosphatase activity (GO:0008138),4/22,0.668083783,0.999995945,0,0,0.888777667,0.358481086,DUSP29;DUSP15;DUSP8;DUSP9
GO_Molecular_Function_2021,,retinoic acid binding (GO:0001972),4/22,0.668083783,0.999995945,0,0,0.888777667,0.358481086,CYP2W1;CYP26B1;CYP27C1;NR2F2
GO_Molecular_Function_2021,,lipase activity (GO:0016298),9/49,0.668364905,0.999995945,0,0,0.899774493,0.362538029,LIPF;AADAC;LIPI;LIPH;LIPG;PLBD1;PNPLA5;CES1;PLA1A
GO_Molecular_Function_2021,,kinase inhibitor activity (GO:0019210),6/33,0.671148859,0.999995945,0,0,0.888721972,0.354390613,SOCS1;AHSG;SPRY4;SH3BP5;PARVA;LRP6
GO_Molecular_Function_2021,,5'-deoxyribose-5-phosphate lyase activity (GO:0051575),1/5,0.67236026,0.999995945,0,0,1,0.396960981,HMGA2
GO_Molecular_Function_2021,,ammonia-lyase activity (GO:0016841),1/5,0.67236026,0.999995945,0,0,1,0.396960981,FTCD
GO_Molecular_Function_2021,,ankyrin repeat binding (GO:0071532),1/5,0.67236026,0.999995945,0,0,1,0.396960981,SHANK1
GO_Molecular_Function_2021,,benzodiazepine receptor binding (GO:0030156),1/5,0.67236026,0.999995945,0,0,1,0.396960981,RIMBP3C
GO_Molecular_Function_2021,,C-palmitoyltransferase activity (GO:0016454),1/5,0.67236026,0.999995945,0,0,1,0.396960981,SPTSSB
